title,rent,room,lease,city,area,community,position,decoration,space,face,floor,type,time,contacts,evaluate
百合星城 紧邻地铁，押一付一 蛋壳公寓,2550,1室1厅1卫,付1押1,合租,布吉,百合星城(一期),布吉街,精装修,13.4平方米,朝北,低层(共11层),普通住宅,2019年6月11日,李**,打败了74.2%的同城经纪人
龙岗  户型1室 蛋壳公寓 免中介 拎包入住,2550,1室1厅1卫,付1押1,合租,布吉,京南华庭,布吉街,精装修,13.9平方米,东南,低层(共14层),普通住宅,2019年6月12日,李**,打败了74.2%的同城经纪人
首月0元住岗厦皇洲花园家电齐全 拎包入住 急租急租,2160,3室1厅1卫,付1押1,合租,福田,皇洲花园,福华新村,精装修,14.3平方米,东北,低层(共16层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省2000元鸿荣源禧园商超齐全 压一付一 随时看房,1741,3室1厅1卫,付1押1,合租,宝安,鸿荣源禧园,沙井,精装修,13.7平方米,东北,中层(共16层),普通住宅,2019年6月12日,朱*,打败了71.6%的同城经纪人
长城盛世家园 温馨精装合租房，手快有手快无，电话咨询优先,2330,3室1厅1卫,付1押1,合租,福田,长城盛世家园(一期),彩田村,精装修,25.1平方米,朝北,低层(共26层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
星座大厦石厦网红盘单身男女的福地离地铁近,5500,1室1厅1卫,面议,整租,福田,星座传奇,石厦,豪华装修,37.2平方米,朝北,中层(共33层),普通住宅,2019年6月12日,付**,打败了30.9%的同城经纪人
租房立省3000元星河锦居高档花园小区家私齐全,1820,3室1厅1卫,付1押1,合租,福田,星河锦居,沙尾,精装修,16.8平方米,西北,低层(共18层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省4000元金泓凯旋城高档花园小区家私齐全,2090,2室1厅1卫,付1押1,合租,宝安,金泓凯旋城,宝安中心区,精装修,15.5平方米,朝南,低层(共18层),普通住宅,2019年6月12日,鲜**,打败了65.5%的同城经纪人
租房立省2000元新塘村家电齐全 拎包入住 急租急租,1890,3室1厅1卫,付1押1,合租,南山,新塘村,白石洲,精装修,18.5平方米,朝北,高层(共19层),普通住宅,2019年6月12日,唐*,打败了68%的同城经纪人
首月0元住蔡屋围宝泉庄精装带家电 出门公交车站,2160,3室1厅1卫,付1押1,合租,罗湖,宝泉庄,笋岗,精装修,16.2平方米,西南,高层(共24层),普通住宅,2019年6月12日,周*,打败了84.3%的同城经纪人
租房立省4000元雅居苑精装好房 先到先得  月付,935,3室1厅1卫,付1押1,合租,宝安,雅居苑,西乡,精装修,15.2平方米,东南,低层(共18层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
首月0元住后海保利城花园1730可短租可月付,1730,2室1厅1卫,付1押1,合租,南山,保利城花园,南山中心区,精装修,15.2平方米,东北,低层(共16层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省4000元东方银座公馆精装带家电 出门公交车站,1260,2室1厅1卫,付1押1,合租,南山,东方银座公馆,前海,精装修,14.1平方米,朝北,低层(共18层),普通住宅,2019年6月12日,徐*,打败了79.9%的同城经纪人
立减2000 梅林海关生活区 精装 押一付一 免中介,2190,3室1厅1卫,付1押1,合租,福田,梅林海关生活区,莲花一村,精装修,22.9平方米,西南,高层(共19层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
美庭苑，紧邻地铁，押一付一，家电全新，可短租,1490,3室1厅1卫,付1押1,合租,龙华,美庭苑,梅林关口,精装修,15平方米,朝北,低层(共8层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
舒适的居住环境 光线通透 安静怡人 家电家具全新桃源村,2000,3室1厅1卫,付1押1,合租,南山,朗苑,桃源村,精装修,20.3平方米,朝西,低层(共21层),普通住宅,2019年6月12日,何*,打败了74.2%的同城经纪人
首月0元住竹子林金众套房直租随时看免中介商超齐全,1990,3室1厅1卫,付1押1,合租,福田,金众小区,竹子林,精装修,13.9平方米,朝北,高层(共20层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省4000元百丽湾花园家电齐全 拎包入住 急租急租,1290,3室1厅1卫,付1押1,合租,南山,百丽湾花园,后海,精装修,13.8平方米,朝北,低层(共16层),普通住宅,2019年6月12日,倪*,打败了95.5%的同城经纪人
租房立省4000元名商园高档花园小区家私齐全,1342,3室1厅1卫,付1押1,合租,南山,名商园,华侨城,精装修,21平方米,东南,低层(共22层),普通住宅,2019年6月12日,夏**,打败了77.2%的同城经纪人
南山周边配套完善 有电梯 户型方正 采光足 宜居住,1100,3室1厅1卫,付1押1,合租,南山,桂庙花园,南山中心区,精装修,16.2平方米,东北,中层(共17层),普通住宅,2019年6月12日,罗**,打败了84.3%的同城经纪人
租房立省2000元向西大厦商超齐全 压一付一 随时看房,1600,3室1厅1卫,付1押1,合租,罗湖,向西大厦,东门,精装修,15.8平方米,西北,中层(共15层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省3000元海洋大厦商超齐全 压一付一 随时看房,1550,3室1厅1卫,付1押1,合租,罗湖,海洋大厦,翠竹,精装修,12.4平方米,西北,低层(共14层),普通住宅,2019年6月11日,刘*,打败了68%的同城经纪人
首月0元住南山南山中心区现代城华庭可短租可月付押一付一,1480,3室1厅1卫,付1押1,合租,南山,现代城华庭,南山中心区,精装修,16.3平方米,东北,低层(共18层),普通住宅,2019年6月12日,韩**,打败了74.2%的同城经纪人
租房立省4000元后瑞村高层采光视野好 交通生活便利,970,3室1厅1卫,付1押1,合租,宝安,后瑞村,宝安机场,精装修,14.9平方米,西北,低层(共16层),普通住宅,2019年6月12日,王**,打败了77.2%的同城经纪人
桃源村梅州大厦环境优美 楼层佳 无遮挡采光好 全齐出租,1410,3室1厅1卫,付1押1,合租,南山,梅州大厦,桃源村,精装修,12平方米,朝北,中层(共10层),普通住宅,2019年6月12日,张*,打败了74.2%的同城经纪人
首月0元住水贝金豪花园全新装修 品牌家电 看房随时,1560,3室1厅1卫,付1押1,合租,罗湖,金豪花园,笋岗,精装修,11.2平方米,朝东,高层(共20层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
,,,,,,,,,,,,,,,
租房立省4000元世界花园香山居商超齐全 压一付一 随时看房,1347,3室1厅1卫,付1押1,合租,南山,世界花园香山居,华侨城,精装修,18.9平方米,朝西,低层(共22层),普通住宅,2019年6月12日,夏**,打败了77.2%的同城经纪人
首月0元住水贝铁路生活小区高档花园小区家私齐全,1460,3室1厅1卫,付1押1,合租,罗湖,铁路生活小区,笋岗,精装修,13.3平方米,朝东,中层(共13层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省3000元世纪春城精装全配房间精致且温馨,920,3室1厅1卫,付1押1,合租,龙华,世纪春城(一期),龙华,精装修,15平方米,朝西,高层(共19层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
首月0元住黄贝岭海富花园家电齐全 拎包入住 急租急租,1960,3室1厅1卫,付1押1,合租,罗湖,海富花园,黄贝岭,精装修,13.6平方米,西南,中层(共15层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
首月0元住石厦皇庭世纪全新装修 品牌家电 看房随时,2090,3室1厅1卫,付1押1,合租,福田,皇庭世纪,皇岗,精装修,17.5平方米,朝南,低层(共20层),普通住宅,2019年6月12日,朱**,打败了68%的同城经纪人
龙珠花园 紧邻地铁，押一付一 蛋壳公寓,2550,1室1厅1卫,付1押1,合租,布吉,龙珠花园,布吉关,精装修,14.4平方米,朝南,低层(共15层),普通住宅,2019年6月11日,李**,打败了74.2%的同城经纪人
租房立省4000元万科金域华府全新家电给你个温馨的窝,920,3室1厅1卫,付1押1,合租,龙华,万科金域华府,龙华,精装修,12.7平方米,朝南,中层(共13层),普通住宅,2019年6月12日,陈**,打败了84.3%的同城经纪人
鸿锦阁 三房合租 男女不限 从事正当职业 干净卫生,2550,3室1厅1卫,付1押1,合租,罗湖,鸿锦阁,黄贝岭,精装修,15.2平方米,朝南,高层(共20层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
中银花园 三房合租 男女不限 从事正当职业 干净卫生,2300,3室1厅1卫,付1押1,合租,福田,中银花园,福田中心,精装修,19.7平方米,西北,低层(共22层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省3000元泊林花园全新家电给你个温馨的窝,1250,3室1厅1卫,付1押1,合租,罗湖,泊林花园,水贝,精装修,14.4平方米,朝东,高层(共19层),普通住宅,2019年6月10日,张**,打败了82.4%的同城经纪人
立减2000星河锦居精装带家私押一付一免中介,1620,3室1厅1卫,付1押1,合租,福田,星河锦居,沙尾,精装修,16.2平方米,西北,中层(共18层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省4000元潜龙鑫茂花园独卫带阳台 家电齐全 无中介,880,3室1厅1卫,付1押1,合租,龙华,潜龙鑫茂花园(A区),民治,精装修,11.2平方米,朝北,低层(共14层),普通住宅,2019年6月12日,冉**,打败了91.1%的同城经纪人
租房立省2000元祥祺花园家电齐全 拎包入住 急租急租,2100,3室1厅1卫,付1押1,合租,南山,祥祺花园,白石洲,精装修,20.9平方米,东北,中层(共14层),普通住宅,2019年6月12日,唐*,打败了68%的同城经纪人
租房立省4000元前海花园押一付一 精装公寓 无中介,1585,2室1厅1卫,付1押1,合租,南山,前海花园,前海,精装修,13.5平方米,朝南,低层(共9层),普通住宅,2019年6月12日,徐*,打败了79.9%的同城经纪人
租房立省3000元外贸大院高层飘窗近地铁生活便利,1550,3室1厅1卫,付1押1,合租,罗湖,外贸大院,水库,精装修,12.8平方米,朝东,低层(共15层),普通住宅,2019年6月10日,李*,打败了94.7%的同城经纪人
租房立省4000元鸿荣源壹成中心花园全新装修 品牌家电 看房,1270,3室1厅1卫,付1押1,合租,龙华,鸿荣源壹成中心花园,龙华,精装修,14.9平方米,朝北,中层(共30层),普通住宅,2019年6月12日,雷**,打败了71.6%的同城经纪人
租房立省4000元绿景阁精装好房 先到先得  月付,1280,3室1厅1卫,付1押1,合租,南山,绿景阁,华侨城,精装修,18.2平方米,朝北,低层(共18层),普通住宅,2019年6月12日,夏**,打败了77.2%的同城经纪人
租房立省4000元耀荣园民水电 免中介 拎包入住,2405,3室1厅1卫,付1押1,合租,福田,耀荣园,香蜜湖,精装修,11.2平方米,西北,低层(共13层),普通住宅,2019年6月12日,王**,打败了71.6%的同城经纪人
典雅居 高立减3000 紧邻地铁 家具全新,1550,3室1厅1卫,付1押1,合租,罗湖,典雅居,翠竹,精装修,11.7平方米,西南,中层(共12层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省4000元星河盛世近地铁，环境优美，拎包入住,1050,3室1厅1卫,付1押1,合租,龙华,星河盛世,民治,精装修,21.3平方米,朝东,中层(共24层),普通住宅,2019年6月12日,陆*,打败了71.6%的同城经纪人
立减2000振兴精装带家私押一付一免中介,2250,1室1厅1卫,付1押1,合租,南山,振兴小区,蛇口,精装修,20.8平方米,朝北,低层(共23层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
首月0元住水贝长富花园精装好房 先到先得  月付,1250,3室1厅1卫,付1押1,合租,罗湖,长富花园,布心,精装修,15.6平方米,西北,中层(共11层),普通住宅,2019年6月10日,张**,打败了82.4%的同城经纪人
桃源村视野开阔 豪华装修 家电家具齐全平福苑,1910,3室1厅1卫,付1押1,合租,南山,平福苑,大学城,精装修,17.3平方米,朝南,高层(共24层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
首月0元住桃园桃花园1645可短租可月付押一付一,1645,3室1厅1卫,付1押1,合租,南山,桃花园,南头,精装修,14.4平方米,朝东,低层(共18层),普通住宅,2019年6月12日,居**,打败了68%的同城经纪人
租房立省2000元白石洲建行宿舍出门就是地铁 精装带家私,2050,3室1厅1卫,付1押1,合租,南山,白石洲建行宿舍,白石洲,精装修,20.7平方米,朝北,高层(共21层),普通住宅,2019年6月12日,唐*,打败了68%的同城经纪人
租房立省4000元园建大楼家电齐全 拎包入住 急租急租,2000,3室1厅1卫,付1押1,合租,福田,园建大楼,笔架山,精装修,12.9平方米,东北,低层(共15层),普通住宅,2019年6月12日,陈**,打败了88%的同城经纪人
立减2000登良花园精装带家私押一付一免中介,1750,1室1厅1卫,付1押1,合租,南山,登良花园,南油,精装修,13.8平方米,朝南,低层(共18层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省4000元伽乐园出门就是地铁 精装带家私,2890,3室1厅1卫,付1押1,合租,龙华,伽乐园,民治,精装修,26.5平方米,朝南,低层(共28层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
星座大厦石厦网红盘单身男女的福地离地铁近,5500,1室1厅1卫,面议,整租,福田,星座传奇,石厦,豪华装修,37.2平方米,朝北,中层(共33层),普通住宅,2019年6月12日,付**,打败了30.9%的同城经纪人
前海海王户型方正 采光充足朝向好 精装修配套齐全,1720,3室1厅1卫,付1押1,合租,南山,海王小区,前海,精装修,17.6平方米,西北,高层(共19层),普通住宅,2019年6月12日,姚**,打败了95.5%的同城经纪人
租房立省4000元鸿荣源壹成中心花园近地铁，环境优美，拎包入,1260,3室1厅1卫,付1押1,合租,龙华,鸿荣源壹成中心花园,龙华,精装修,13.4平方米,东北,中层(共27层),普通住宅,2019年6月12日,雷**,打败了71.6%的同城经纪人
南油海典居视野广阔 采光好 空气质量好 车位充足,1480,3室1厅1卫,付1押1,合租,南山,海典居,南山中心区,精装修,16.4平方米,西南,中层(共15层),普通住宅,2019年6月12日,游**,打败了74.2%的同城经纪人
租房立省4000元星河丹堤包物业包网费 无中介,905,3室1厅1卫,付1押1,合租,龙华,星河丹堤,龙华,精装修,13.7平方米,西北,高层(共25层),普通住宅,2019年6月12日,冉**,打败了91.1%的同城经纪人
租房立省3000元宝瑞轩押一付一 精装公寓 无中介,1840,3室1厅1卫,付1押1,合租,福田,宝瑞轩,保税区,精装修,12.1平方米,西北,低层(共15层),普通住宅,2019年6月12日,雷*,打败了74.2%的同城经纪人
租房立省4000元华府苑全新装修 品牌家电 看房随时,1710,2室1厅1卫,付1押1,合租,南山,华府苑,前海,精装修,16.1平方米,西北,低层(共18层),普通住宅,2019年6月12日,徐*,打败了79.9%的同城经纪人
首月0元住新安新锦安雅园可短租可月付押一付一,2130,3室1厅1卫,付1押1,合租,宝安,新锦安雅园,宝安中心区,精装修,13.3平方米,朝北,低层(共14层),普通住宅,2019年6月12日,段**,打败了74.2%的同城经纪人
南向采光足 全齐出租 拎包即住 室友易相处蛇口,1170,1室1厅1卫,付1押1,合租,南山,兰溪谷国际公寓,蛇口,精装修,13.2平方米,西北,中层(共13层),普通住宅,2019年6月12日,夏**,打败了77.2%的同城经纪人
吉信大厦 紧邻地铁，押一付一 蛋壳公寓,2550,1室1厅1卫,付1押1,合租,布吉,吉信大厦,布吉街,精装修,14.2平方米,东北,低层(共13层),普通住宅,2019年6月12日,李**,打败了74.2%的同城经纪人
首月0元住罗湖蔡屋围大信大厦楼层好有停车位,2490,3室1厅1卫,付1押1,合租,罗湖,大信大厦,笋岗,精装修,14.9平方米,东南,低层(共16层),普通住宅,2019年6月12日,季*,打败了91.1%的同城经纪人
渔港大楼 寻找女生合租 楼梯四楼 家私齐 拎包入住,2290,1室1厅1卫,付1押1,合租,南山,渔港大楼,蛇口,精装修,20.6平方米,西北,低层(共24层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
首月0元住后海保利城花园1730可短租可月付,1730,2室1厅1卫,付1押1,合租,南山,保利城花园,南山中心区,精装修,15.2平方米,东北,低层(共16层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省4000元名商园高档花园小区家私齐全,1342,3室1厅1卫,付1押1,合租,南山,名商园,华侨城,精装修,21平方米,东南,低层(共22层),普通住宅,2019年6月12日,夏**,打败了77.2%的同城经纪人
租房立省4000元怡海广场商超齐全 压一付一 随时看房,1395,2室1厅1卫,付1押1,合租,南山,怡海广场,南山中心区,精装修,13.5平方米,朝南,低层(共18层),普通住宅,2019年6月12日,魏*,打败了74.2%的同城经纪人
租房立省2000元中信花园家电齐全 拎包入住 急租急租,2040,3室1厅1卫,付1押1,合租,南山,中信花园,白石洲,精装修,25.9平方米,朝东,中层(共16层),普通住宅,2019年6月12日,唐*,打败了68%的同城经纪人
租房立省2000元东港中心大厦全新家电给你个温馨的窝,2210,3室1厅1卫,付1押1,合租,罗湖,东港中心大厦,东门,精装修,23.1平方米,西北,高层(共20层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
立减2000招商雍景湾精装带家私押一付一免中介,2200,1室1厅1卫,付1押1,合租,南山,招商雍景湾,蛇口,精装修,18.8平方米,朝南,中层(共15层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
鹏城花园 免中芥费 近地铁 包宽带 出行方便 精装修拎包入住,1410,3室1厅1卫,付1押1,合租,罗湖,鹏城花园,布心,精装修,14.8平方米,东北,高层(共25层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省2000元大望苑出门就是地铁 精装带家私,1010,3室1厅1卫,付1押1,合租,罗湖,大望苑,布心,精装修,15平方米,东北,低层(共19层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
南头南头花园中南苑户型方正 采光充足朝向好 精装修配套齐全,1284,3室1厅1卫,付1押1,合租,南山,南头花园中南苑,南头,精装修,16.5平方米,东北,高层(共27层),普通住宅,2019年6月12日,罗**,打败了71.6%的同城经纪人
租房立省4000元中航天逸近地铁，环境优美，拎包入住,1920,3室1厅1卫,付1押1,合租,龙华,中航天逸,民治,精装修,24.4平方米,朝东,高层(共20层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
金穗居 朝南主卧 带飘窗独卫 配备齐全,1380,4室1厅1卫,付1押1,合租,罗湖,金穗居,草埔,精装修,14.7平方米,朝南,低层(共14层),普通住宅,2019年6月6日,刘*,打败了68%的同城经纪人
租房立省4000元桦润馨居精装好房 先到先得  月付,2080,3室1厅1卫,付1押1,合租,龙华,桦润馨居,龙华,精装修,16.7平方米,东北,中层(共25层),普通住宅,2019年6月12日,张**,打败了82.4%的同城经纪人
租房立省3000元公交集团宿舍精装全配房间精致且温馨,1000,3室1厅1卫,付1押1,合租,罗湖,公交集团宿舍,草埔,精装修,26.8平方米,东北,高层(共23层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省4000元鸿荣源壹成中心花园全新装修 品牌家电 看房,1480,3室1厅1卫,付1押1,合租,龙华,鸿荣源壹成中心花园,龙华,精装修,15.1平方米,朝南,低层(共17层),普通住宅,2019年6月12日,雷**,打败了71.6%的同城经纪人
租房立省4000元中航天逸正规三房 拎包入住 家电齐全,1880,3室1厅1卫,付1押1,合租,龙华,中航天逸,民治,精装修,23.1平方米,朝西,高层(共26层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
松岗繁华地段 精装修品质公寓 押一付一 24h售后服务,920,3室1厅1卫,付1押1,合租,宝安,松河瑞园,松岗,精装修,16.8平方米,朝南,高层(共25层),普通住宅,2019年6月12日,彭**,打败了77.2%的同城经纪人
租房立省2000元金晖大厦家电齐全 拎包入住 急租急租,1365,2室1厅1卫,付1押1,合租,南山,金晖大厦,南油,精装修,14.6平方米,朝北,高层(共22层),普通住宅,2019年6月12日,黄**,打败了68%的同城经纪人
租房立省2000元向西大厦商超齐全 压一付一 随时看房,1600,3室1厅1卫,付1押1,合租,罗湖,向西大厦,东门,精装修,15.8平方米,西北,中层(共15层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省3000元洪湖东岸精装带家电 出门公交车站,1550,3室1厅1卫,付1押1,合租,罗湖,洪湖东岸,翠竹,精装修,13平方米,东南,低层(共16层),普通住宅,2019年6月11日,刘*,打败了68%的同城经纪人
金安大厦 中间楼层 精装三房 环境舒适 业主直租,1643,1室1厅1卫,付1押1,合租,罗湖,金安大厦,东门,精装修,22.3平方米,东北,低层(共22层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省2000元好来居民水电 免中介 拎包入住,1500,3室1厅1卫,付1押1,合租,南山,好来居,南山中心区,精装修,16.5平方米,朝东,中层(共12层),普通住宅,2019年6月12日,罗**,打败了71.6%的同城经纪人
首月0元住宝安固戍中信可短租可月付押一付一,1460,3室1厅1卫,付1押1,合租,宝安,领航里程花园(中信领航城一期),领航城,精装修,15.1平方米,西北,低层(共17层),普通住宅,2019年6月12日,黄**,打败了68%的同城经纪人
租房立省4000元亿利达村精装全配房间精致且温馨,1410,3室1厅1卫,付1押1,合租,南山,亿利达村,南山中心区,精装修,14.1平方米,西南,中层(共18层),普通住宅,2019年6月12日,罗**,打败了84.3%的同城经纪人
租房立省4000元日出印象民水电 免中介 拎包入住,3000,3室1厅1卫,付1押1,合租,龙华,日出印象(B区),民治,精装修,18.7平方米,朝南,低层(共21层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
舒适的居住环境 光线通透 安静怡人 家电家具全新桃源村,2000,3室1厅1卫,付1押1,合租,南山,朗苑,桃源村,精装修,20.3平方米,朝西,低层(共21层),普通住宅,2019年6月12日,何*,打败了74.2%的同城经纪人
民乐翠园 刚退出来的房 可拎包入住干净卫生,1480,3室1厅1卫,付1押1,合租,龙华,民乐翠园小区,梅林关口,精装修,13.4平方米,朝北,中层(共16层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
爱联B区小区 紧邻地铁，押一付一 蛋壳公寓,1475,3室1厅1卫,付1押1,合租,龙岗,爱联B区小区,大运,精装修,20.5平方米,朝南,低层(共22层),普通住宅,2019年6月12日,苏**,打败了74.2%的同城经纪人
租房立省4000元民乐统建楼高层飘窗近地铁生活便利,830,3室1厅1卫,付1押1,合租,龙岗,民乐统建楼,坂田,精装修,13.9平方米,西南,低层(共15层),普通住宅,2019年6月12日,陈**,打败了84.3%的同城经纪人
租房立省3000元花半里别馆精装好房 先到先得  月付,1550,3室1厅1卫,付1押1,合租,罗湖,花半里别馆(翠山花半里),草埔,精装修,15平方米,东南,中层(共15层),普通住宅,2019年6月9日,何*,打败了74.2%的同城经纪人
龙华立省2000元银泉花园精装带家电 出门公交车站,2450,3室1厅1卫,付1押1,合租,龙华,银泉花园,龙华,精装修,20.1平方米,东南,中层(共16层),普通住宅,2019年6月12日,张*,打败了74.2%的同城经纪人
首月0元住固戍中信24管家服务高性价比大主卧等,2225,3室1厅1卫,付1押1,合租,宝安,领航里程花园(中信领航城一期),领航城,精装修,11.4平方米,朝南,中层(共11层),普通住宅,2019年6月12日,姜*,打败了77.2%的同城经纪人
首月0元住南山中心区现代城华庭可短租可月付楼层好停车位,1615,3室1厅1卫,付1押1,合租,南山,现代城华庭,南山中心区,精装修,16.2平方米,朝东,低层(共17层),普通住宅,2019年6月12日,居**,打败了68%的同城经纪人
松岗房屋干净整洁 精装修 家电齐全 宽敞明亮 布局大方,990,3室1厅1卫,付1押1,合租,宝安,御溪城,松岗,精装修,18平方米,朝北,中层(共17层),普通住宅,2019年6月12日,彭**,打败了77.2%的同城经纪人
立减2000新塘村三坊精装带家私押一付一免中介,1950,3室1厅1卫,付1押1,合租,南山,新塘村,白石洲,精装修,15.7平方米,西南,中层(共17层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
桃源村装修精致 采光明亮 房型大方宽敞 24h管家售后服务,1590,3室1厅1卫,付1押1,合租,南山,平福苑,大学城,精装修,17.8平方米,东北,中层(共16层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
首月0元住八卦岭笔架山花园家电齐全 拎包入住 急租急租,2090,3室1厅1卫,付1押1,合租,福田,乐山居,笔架山,精装修,13.3平方米,朝北,中层(共15层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省4000元甲岸花园全新装修 品牌家电 看房随时,2615,2室1厅1卫,付1押1,合租,宝安,甲岸花园,新安,精装修,15.3平方米,朝北,高层(共21层),普通住宅,2019年6月12日,林*,打败了71.6%的同城经纪人
租房立省4000元桃苑公寓出门就是地铁 精装带家私,1225,3室1厅1卫,付1押1,合租,南山,桃苑公寓,南山医院,精装修,14.1平方米,朝南,低层(共17层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
立减2000 梅林海关生活区 精装 押一付一 免中介,2190,3室1厅1卫,付1押1,合租,福田,梅林海关生活区,莲花一村,精装修,22.9平方米,西南,高层(共19层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
新秀村 限量特价房 月付可短租 独卫 限时抢租！,2550,3室1厅1卫,付1押1,合租,罗湖,新秀村(南区),黄贝岭,精装修,17平方米,朝南,高层(共22层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
租房立省4000元金地上塘道精装好房 先到先得  月付,2500,3室1厅1卫,付1押1,合租,龙华,金地上塘道(一期),龙华,精装修,23平方米,朝北,中层(共17层),普通住宅,2019年6月12日,刘**,打败了71.6%的同城经纪人
首月0元住固戍万象新天香格丽湾园2375可短租押一付一管,2375,3室1厅1卫,付1押1,合租,宝安,万象新天三期,固戍,精装修,16.7平方米,朝北,低层(共20层),普通住宅,2019年6月12日,姜*,打败了77.2%的同城经纪人
首月0元住清湖美丽365花园可短租可月付24管家服务,1960,3室1厅1卫,付1押1,合租,龙华,美丽365花园,美丽365花园,精装修,18.7平方米,西北,低层(共19层),普通住宅,2019年6月12日,陈**,打败了88%的同城经纪人
立减2000星河锦居精装带家私押一付一免中介,1620,3室1厅1卫,付1押1,合租,福田,星河锦居,沙尾,精装修,16.2平方米,西北,中层(共18层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
